pathway,gene
GO:0003777,Vitvi05_01chr19g11510
GO:0003777,Vitvi05_01chr14g01890
GO:0003777,Vitvi05_01chr05g03800
GO:0003777,Vitvi05_01chr03g07320
GO:0003777,Vitvi05_01chr03g00580
GO:0003777,Vitvi05_01chr18g11310
GO:0003777,Vitvi05_01chr02g06260
GO:0003777,Vitvi05_01chr18g03820
GO:0003777,Vitvi05_01chr11g04700
GO:0003777,Vitvi05_01chr05g16600
GO:0003777,Vitvi05_01chr18g36430
GO:0003777,Vitvi05_01chr10g24550
GO:0003777,Vitvi05_01chr07g24640
GO:0003777,Vitvi05_01chr05g04440
GO:0003777,Vitvi05_01chr08g13770
GO:0003777,Vitvi05_01chr08g20200
GO:0003777,Vitvi05_01chr09g05250
GO:0003777,Vitvi05_01chr19g18130
GO:0003777,Vitvi05_01chr14g06820
GO:0003777,Vitvi05_01chr19g09790
GO:0004553,Vitvi05_01chr01g04250
GO:0004553,Vitvi05_01chr08g03750
GO:0004553,Vitvi05_01chr12g14170
GO:0004553,Vitvi05_01chr05g01580
GO:0004553,Vitvi05_01chr04g20640
GO:0004553,Vitvi05_01chr01g22360
GO:0004553,Vitvi05_01chr02g07160
GO:0004553,Vitvi05_01chr12g21730
GO:0004553,Vitvi05_01chr10g13540
GO:0004553,Vitvi05_01chr08g08920
GO:0004553,Vitvi05_01chr13g01470
GO:0004553,Vitvi05_01chr17g03440
GO:0004553,Vitvi05_01chr08g03140
GO:0004553,Vitvi05_01chr16g12380
GO:0004553,Vitvi05_01chr12g14500
GO:0004553,Vitvi05_01chr14g28090
GO:0004553,Vitvi05_01chr11g09380
GO:0004553,Vitvi05_01chr14g18860
GO:0004553,Vitvi05_01chr04g01260
GO:0004553,Vitvi05_01chr08g23880
GO:0004553,Vitvi05_01chr16g00670
GO:0004553,Vitvi05_01chr07g30750
GO:0004553,Vitvi05_01chr09g20010
GO:0004553,Vitvi05_01chr11g09370
GO:0004553,Vitvi05_01chr11g09350
GO:0004553,Vitvi05_01chr11g09290
GO:0004553,Vitvi05_01chr10g14110
GO:0004553,Vitvi05_01chr02g10020
GO:0004553,Vitvi05_01chr14g22100
GO:0004553,Vitvi05_01chr09g02750
GO:0004553,Vitvi05_01chr03g10180
GO:0004553,Vitvi05_01chr05g14740
GO:0004553,Vitvi05_01chr14g26480
GO:0004553,Vitvi05_01chr05g01380
GO:0004553,Vitvi05_01chr14g22110
GO:0004553,Vitvi05_01chr04g18610
GO:0004553,Vitvi05_01chr05g18030
GO:0004553,Vitvi05_01chr18g14840
GO:0004553,Vitvi05_01chr18g25310
GO:0004675,Vitvi05_01chr06g13670
GO:0004675,Vitvi05_01chr10g13100
GO:0004675,Vitvi05_01chr09g19320
GO:0004675,Vitvi05_01chr14g14730
GO:0004675,Vitvi05_01chr18g00280
GO:0004675,Vitvi05_01chr09g19310
GO:0004675,Vitvi05_01chr07g23150
GO:0004675,Vitvi05_01chr18g11650
GO:0004675,Vitvi05_01chr18g32290
GO:0004675,Vitvi05_01chr13g24700
GO:0004675,Vitvi05_01chr09g20000
GO:0004675,Vitvi05_01chr03g09740
GO:0004675,Vitvi05_01chr09g17640
GO:0004675,Vitvi05_01chr18g00270
GO:0004675,Vitvi05_01chr09g19360
GO:0004675,Vitvi05_01chr11g17760
GO:0004675,Vitvi05_01chr18g01220
